datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-07-31 12:00:00+05:00,903.0,905.6005076124227,906.2233333333334
2025-07-24 18:00:00+05:00,31.0,47.31686570845454,34.653333333333336
2025-05-11 16:15:00+05:00,295.0,346.49638941931687,288.4433333333333
2025-09-22 15:45:00+05:00,199.0,263.28089275801744,200.98333333333332
2025-08-26 14:30:00+05:00,694.0,730.8727311405573,703.47
2025-09-24 09:00:00+05:00,609.0,561.4697557943405,612.79
2025-01-08 11:30:00+05:00,738.0,727.9007491169393,737.92
2025-05-01 09:45:00+05:00,781.0,741.7699985604893,779.5066666666667
2025-04-14 07:00:00+05:00,183.0,128.55104102067543,181.08
2025-03-11 15:30:00+05:00,494.0,546.6098456762513,490.78333333333336
2025-07-12 07:45:00+05:00,104.0,103.78452415719346,128.69
2025-09-21 08:00:00+05:00,404.0,352.44035346655255,408.03
2025-02-06 10:45:00+05:00,677.0,654.5918592010328,683.3066666666666
2025-07-17 07:00:00+05:00,140.0,119.63509494982193,142.87333333333333
2025-05-31 12:45:00+05:00,860.0,867.5839042269779,857.56
2025-08-01 15:15:00+05:00,567.0,611.9934501958437,556.2233333333334
2025-01-14 10:45:00+05:00,502.0,464.38500968949114,506.8
2025-01-23 10:00:00+05:00,585.0,546.6098456762513,588.82
2025-10-05 08:00:00+05:00,326.0,277.15014220156735,326.82
2025-05-13 10:45:00+05:00,675.0,672.4237513427397,691.12
2025-03-12 16:15:00+05:00,291.0,349.4683714429347,291.1533333333333
2025-07-14 13:15:00+05:00,716.0,717.9941423715466,665.4266666666666
2025-05-01 11:15:00+05:00,927.0,905.6005076124227,930.0233333333333
2025-05-22 15:15:00+05:00,103.0,128.55104102067543,139.41
2025-07-09 08:15:00+05:00,97.0,107.74716685535059,110.94333333333333
2025-05-25 14:45:00+05:00,315.0,592.1802367050582,457.42
2025-02-09 15:30:00+05:00,381.0,430.70254675515565,403.95666666666665
2025-03-30 15:30:00+05:00,442.0,494.1048299256695,441.8433333333333
2025-07-12 16:45:00+05:00,258.0,271.20617815433167,213.88
2025-08-13 11:15:00+05:00,76.0,86.94329269002571,88.05333333333333
2025-02-19 08:45:00+05:00,463.0,408.90801191529147,460.56666666666666
2025-06-21 08:30:00+05:00,412.0,377.2068703300346,417.94
2025-06-10 10:00:00+05:00,600.0,620.9093962666973,561.7433333333333
2025-06-12 17:15:00+05:00,159.0,213.74785903105345,158.37666666666667
2025-05-26 15:15:00+05:00,361.0,451.5064209204805,373.5566666666667
2025-08-26 13:45:00+05:00,776.0,754.6485873295001,732.4466666666667
2025-08-26 15:45:00+05:00,362.0,465.3756703640304,405.56666666666666
2025-09-19 12:30:00+05:00,872.0,879.4718323214493,872.7333333333333
2025-03-27 10:15:00+05:00,809.0,772.480479471207,806.29
2025-07-10 12:45:00+05:00,635.0,524.8153108363872,515.4633333333334
2025-08-06 15:15:00+05:00,113.0,87.933953364565,87.34333333333333
2025-06-07 11:15:00+05:00,667.0,727.9007491169393,727.97
2025-02-17 17:00:00+05:00,115.0,170.15878935132517,116.94666666666667
2025-06-17 17:15:00+05:00,106.0,141.4296297896861,104.72666666666667
2025-05-29 17:15:00+05:00,99.0,130.532362369754,97.25
2025-08-04 15:30:00+05:00,352.0,390.0854590990452,359.28333333333336
2025-10-09 11:45:00+05:00,852.0,848.7613514107315,848.69
2025-01-18 16:00:00+05:00,222.0,272.19683882887097,219.29
2025-09-18 08:15:00+05:00,311.0,273.1874995034102,309.61333333333334
2025-09-02 15:15:00+05:00,113.0,132.51368371883257,140.19
2025-08-09 10:00:00+05:00,488.0,424.75858270791997,459.14666666666665
2025-01-07 07:45:00+05:00,131.0,96.84989943541851,127.59666666666666
2025-02-11 10:15:00+05:00,567.0,533.7312569072408,576.3133333333334
2025-06-07 12:45:00+05:00,346.0,471.31963441126607,420.18333333333334
2025-07-05 15:00:00+05:00,342.0,411.8799939389093,414.07
2025-01-09 15:15:00+05:00,411.0,460.422366991334,411.8333333333333
2025-03-26 15:45:00+05:00,445.0,502.0301153219837,450.45666666666665
2025-01-11 07:15:00+05:00,50.0,35.428937613983194,51.78
2025-10-21 07:45:00+05:00,321.0,269.2248568052531,328.36
2025-05-11 14:15:00+05:00,678.0,712.050178324311,673.9666666666667
2025-10-12 12:30:00+05:00,823.0,834.8921019671816,819.95
2025-08-12 16:30:00+05:00,112.0,171.14945002586447,130.77666666666667
2025-07-04 11:45:00+05:00,288.0,306.8699624377457,276.16333333333336
2025-04-09 08:30:00+05:00,529.0,474.2916164348839,524.2566666666667
2025-09-12 06:45:00+05:00,72.0,56.23281177930806,75.14333333333333
2025-07-14 17:30:00+05:00,128.0,167.18680732770733,120.83666666666667
2025-01-02 14:30:00+05:00,546.0,587.2269333323618,545.1
2025-08-06 10:00:00+05:00,671.0,626.8533603139329,642.04
2025-04-07 08:00:00+05:00,452.0,394.0481017972023,450.8666666666667
2025-01-21 08:00:00+05:00,258.0,204.83191296019996,257.0466666666667
2025-02-07 10:30:00+05:00,640.0,607.0401468231473,645.6033333333334
2025-08-17 14:00:00+05:00,702.0,696.1996075316824,652.12
2025-07-09 10:30:00+05:00,97.0,99.82188145903635,95.65666666666667
2025-05-30 10:30:00+05:00,621.0,684.3116794372111,654.2866666666666
2025-03-12 17:15:00+05:00,84.0,133.50434439337184,85.23666666666666
2025-01-09 13:30:00+05:00,695.0,718.984803046086,694.0
2025-10-09 08:30:00+05:00,515.0,446.5531175477841,501.5
2025-08-11 09:45:00+05:00,641.0,582.2736299596654,623.3766666666667
2025-02-13 16:30:00+05:00,228.0,288.0474096214994,230.22666666666666
2025-03-08 09:45:00+05:00,749.0,704.1248929279968,723.9833333333333
2025-05-23 17:30:00+05:00,81.0,114.68179157712554,74.02666666666667
2025-04-24 12:00:00+05:00,979.0,905.6005076124227,980.07
2025-05-20 12:15:00+05:00,840.0,841.8267266889566,840.97
2025-08-21 14:30:00+05:00,215.0,191.95332419118932,203.09666666666666
2025-05-13 11:30:00+05:00,873.0,865.6025828778993,870.52
2025-03-19 13:15:00+05:00,803.0,819.041531174553,799.44
2025-04-06 10:45:00+05:00,942.0,905.6005076124227,934.1866666666666
2025-07-03 17:15:00+05:00,114.0,145.3922724878432,113.63
2025-09-11 07:00:00+05:00,92.0,82.9806499918686,103.79666666666667
2025-07-10 12:00:00+05:00,356.0,304.88864108866716,306.47
2025-03-06 06:30:00+05:00,33.0,64.15809717562229,40.483333333333334
